compensation,date,description,employment_type,lat,link,long,text
Dependent upon experience,2022-04-22 17:25,"[['\n        ', '\nWe seek an engineer with experience in industrial equipment (pumps, compressors, ovens, mixers, conveyors, etc.)', '\n', '\nWe are a growing manufacturer located in lower Westchester County, NY, selling an established product globally to industrial and OEM customers. We are the leader in our market, ISO 9001 certified for quality, and a great place to work. We are a key division of a $35 million sales company.', '\n', ""\nAs a part of our technical sales team, your role will be to understand our customer's equipment and reliability issues and help recommend and design a solution. We will train you in our products and send you to learn at seminars, courses and trade shows.  Our customers ask us to help solve challenging engineering issues - you will have a chance to work on and solve interesting problems every day."", '\n', '\nSome travel to customers, usually with our outside sales representatives, is expected, but you will primarily work from our office. ', '\n', '\nThis is a salaried position with a stable, successful 50+ year old company. We offer a full range of benefits including an individual and company-wide bonus. ', '\n', '\nYou will have substantial customer contact, therefore, excellent written and verbal communication skills are a must. You will need direct experience with process industry mechanical equipment. (This might include pumps, compressors, mixers, ovens, etc.)', '\n', '\nBroad industrial experience (5 years+), excellent communication skills and an engineering degree are required.', '\n    ']]",full-time,40.951800,https://newyork.craigslist.org/wch/egr/d/sales-engineering-role/7474650832.html,-73.885200,Sales Engineering Role
High weekly commission based pay. Current full time weekly incomes range from $850 to $1725,2022-04-23 07:32,"[['\n        ', '\nWHAT WE DO', '\n', '\nAs a turn-key, reputable, midtown Manhattan-based residential interior remodeling firm, we make it easier for homeowners to have renovations done as we handle everything from design and product selection assistance to orders, deliveries, permits and installations. We back it up with an on-time guarantee and 7 year labor and products warranty.', '\n', '\nOur projects range from full apartment and house interior renovations to combining apartments, kitchens, basements, bathrooms. Project Prices range from 40k to 600k+.', '\n', '\nSKILLS REQUIRED', '\n', ""\nThis role requires proficiency in both residential interior design (min 10 yrs) and project management (min 5 yrs) of Co-op apartment and house interior renovations. You'll be the team leader, taking projects from start to finish. Experience should include at least 10 projects in Manhattan or other major city and experience supervising trades in the field."", '\n', '\nPrefer NYC resident or within 60 minutes commute.', '\n', '\nDesign competence in either SketchUp, AutoCAD, 20/20 or other design software.', '\n', '\nYOUR ROLE', '\n', '\nAn essential component of the job will be excellent and frequent communication with the client, The ideal candidate will know how to maintain good rapport with clients and be experienced enough to run projects, trouble-shoot and resolve problems quickly.', '\n', '\nWe have a well developed and continuously improving system.', '\n', ""\nDesign sales work will include meeting our client at their home/apartment and subsequently, designing, writing work scopes, meeting and guiding clients through product selections at our and other product showrooms. Creating products lists. Trades walkthroughs. Ongoing support. After that, project management work will include scheduling, site visits twice a week or more, coordinating and supervising trades and product deliveries, client interactions, timely completions. As the head of the team, you'll be running the project."", '\n', '\nHours will include some evening and weekend appointments based on client needs.', '\n', '\nReal opportunities for advancement as we are poised for growth (particularly in the last 3 years) and have a great location.', '\n', '\nCOMPENSATION', '\n', '\nCompensation is experience dependent:', '\n30K base plus weekly commissions. OR', '\nHigh weekly commissions', '\n', '\nThis means your earning potential is unlimited and based on your design and project management skills, client rapport and organization.', '\nCurrent full time weekly incomes range from $850 to $1725', '\n', '\n+401K', '\n', '\n+Performance bonuses', '\n', '\n+Advancement Opportunities', '\n', '\n+Paid time off', '\n', '\n-No healthcare currently offered', '\n', '\nemployment type: full-time', '\n', '\nCOVID-19 considerations:', '\nWe follow all proper safety precautions.', '\n', '\n', '\n    ']]",full-time,40.751700,https://newyork.craigslist.org/mnh/egr/d/new-york-residential-interior-designer/7474809756.html,-73.970700,Residential Interior Designer/Project Manager w-9 yrs experience
"commensurate with experience,",2022-04-23 13:36,"[['\n        ', '\nTwo positions available as we expand: ENGINEER and/or ARCHITECT (AutoCAD) wanted as we grow our engineering and architectural services firm. ', '\nEntry level or experienced will be considered and will be compensated accordingly.', '\nWe are a growing Engineering/Architectural firm, with remote and hybrid workers, specializing in multiple quick paced small projects. (700-800 small/midsized projects in 2021)', '\nWe are a highly regarded, hardworking firm, that provides designs for many public and private projects, predominantly for mid to large size contractors.', '\nWe are a progressive firm, with more than your average small company benefits: health, dental, 401k matching, bonus incentive, paid vacation, team building events, etc.', '\nWe are a 14-employee Corp., located in LONG ISLAND CITY, Queens, we provide owner and contractor support for a wide range of DOB requirements, primarily many contractor required safety and structural engineering products, as well as full architectural renovations and permanent structural designs. ', '\nWe specialize in the design of temporary structural stability components and sequences, Support of excavation designs, Site Safety Plans, and related contractor equipment designs. We save our clients lots of money bringing buildable and cost effective designs to approval. ', '\nWe are in need of both of the following:', '\nSTAFF STRUCTURAL ENGINEER: experienced/proficient with AutoCAD, 1-2 years minimum experience. Passion for buildable cost effective, code compliant solutions is required, with the ability to communicate and defend designs in formal calculations and theory for building and temporary component analysis. ', '\nDuties are predominantly AutoCAD production, but will also be asked to attend field inspections, job site meetings and DOB plan exams. Salary depending on experience. ', '\nSTAFF ARCHITECT: experienced/proficient with autocad, 1-2 years minimum experience. Passion for efficient designs, strong interest in many components of building codes, regulations and procedures. Duties are predominantly autocad production but may be asked to attend job site meetings and DOB plan exams. Chief products are renovation applications, and a large quantity of Site Safety Plans, Egress Analysis, ATRU plans for contractors. Salary depending on experience. ', '\nWE ARE ALSO CONSIDERING APPLICANTS WITH MORE EXPERIENCE, AND WILL COMPENSATE ACCORDINGLY. We are equal opportunity employer.', '\nFor consideration:', '\nIN COVER LETTER, PLEASE STATE ANYTHING YOU WOULD LIKE US TO KNOW ABOUT WHY YOU ARE A GOOD CHOICE, PLEASE INCLUDE YOUR SALARY RANGE REQUIREMENTS. ', '\nPlease include resume in body of email or as pdf, not word doc or google drive.', '\nIMPORTANT: please list either: structural engineer applicant, or architect applicant, in the subject of the email. ', '\nThanks, good luck in your job search.', '\n    ']]",full-time,40.744600,https://newyork.craigslist.org/que/egr/d/long-island-city-staff-engineer-and-or/7474959014.html,-73.934500,STAFF ENGINEER and/or ARCHITECT
Per hour or by job,2022-04-24 17:17,"[['\n        ', '\nLooking for a Freelance Auto cad drafter to be familiar with how to prepare construction plans for filling in NYC. Need to be fast & flexible hours, Familiar with nyc building code & zoning.', '\nNEEDS TO BE WORKING ON AUTO CAD ARCHITECTURAL   ', '\nPlease send some samples of your work. NYC construction plans or floor plans\n    ']]",part-time,40.645100,https://newyork.craigslist.org/brk/egr/d/brooklyn-architectural-drafter/7475426841.html,-73.945000,Architectural drafter
Compensation based on experience.,2022-04-25 14:34,"[['\n        ', '\nMidtown Manhattan Consulting Engineering firm seeks Plumbing/Sprinkler design engineer for commercial/residential hi-rise fitout. Must have excellent communication skills. Autocad background a must, Revit and project management background a plus. Minimum 1-5 years work experience need apply only! Principals Only!', '\n    ']]",full-time,40.748400,https://newyork.craigslist.org/mnh/egr/d/new-york-plumbing-sprinkler-design/7475774848.html,-73.996700,Plumbing/Sprinkler Design Engineer
commensurate with experience,2022-04-25 15:09,"[['\n        ', '\nJob description', '\nBuilding Studio Architects is seeking a motivated, self-directed, proactive architect/architectural draftsperson. Our ideal candidate is organized, technically proficient in CAD drafting, knowledgeable about construction codes and standards, and is an excellent communicator. You will participate in all phases of projects from schematic design, through construction documents and construction administration for both new construction, and renovations in the residential, commercial, and institutional sectors. You should be able to work both independently and in a team environment.', '\n', '\nThe job will involve:', '\n', '\n· Code research and compliance documentation', '\n', '\n· Schematic design through project completion including Client communications', '\n', '\n· All drafting and detailing for projects of various sizes primarily in NYC', '\n', '\n· Administering junior staff: redlining and leading project teams', '\n', '\n· Coordinating engineering and other consultants', '\n', '\nSoftware skills required:', '\n', '\n· Autocad', '\n', '\n· Revit', '\n', '\n· Adobe Creative Suite', '\n', '\nExperience Level:', '\n', ""\n· Bachelor's degree in Architecture or related field "", '\n', '\n· at least 1 - 3 years experience in a comparable position, ideally in the NY Metro area', '\n', '\nPlease apply directly through this site or email all documents listed below in pdf format to office@buildingstudio.com. No phone calls.', '\n', '\n· Resume', '\n', '\n· Cover Letter', '\n', '\n· Examples of work / Design portfolio / construction documents if you have them', '\n', '\n· availability', '\n', '\nTo ensure a safe environment for all employees, we are requiring proof of vaccination against Covid-19 to physically enter our office.', '\n', '\nBuilding Studio Architects is an Equal Opportunity Employer. Despite being a small office, we have a diverse staff. We are committed to maintaining diversity of all kinds. BIPOC, LGBTQ, disabled, and any other qualified applicants are strongly encouraged to respond. Building Studio Architects ensures a work environment free from harassment and complies with all anti-discrimination policies as set forth by our local, state, and federal governments.', '\n', '\nAdditional information:', '\n', '\n· Benefits package includes health, dental and vision, in addition to a supplemental wellness insurance program', '\n', '\n· Simple IRA with matching available after one year with the company', '\n', '\n· Paid time off and all major US holidays', '\n', '\n· Salary ranges are commensurate with experience level\n    ']]",full-time,40.754700,https://newyork.craigslist.org/mnh/egr/d/new-york-architect-intermediate-level/7475793990.html,-73.992500,Architect: Intermediate Level
Negotiable,2022-03-29 17:47,"[['\n        ', ""\nArchitectural Project Manager 10 Years +' Experience (Manhattan)"", '\n', '\nCompensation: Negotiable', '\nEmployment type: full-time', '\n', '\nABOUT THE FIRM:', '\nTONAB is modeled on a single principle: that architecture can, and should, have a positive impact on the lives of people. We have created extensive expertise in multiple types of building design and construction including supportive and affordable housing; educational, cultural, and health institutions; and large-scale commercial projects. The firm has designed and completed projects managed by DASNY, NYC School Construction Authority, NYCHA, the Port Authority of NY & NJ, Acacia Network, and Brooklyn Health, as well as work for various airlines and private clients.', '\n', '\nABOUT THE POSITION:', '\nTonab Architecture PLLC, seeks an individual with a strong leadership and communication skills with architectural manager-level experience to lead teams through design and construction documents, and be responsible for the construction administration for SCA K-12 Schools, and for varied projects for local universities, hospitals, and airport work.', '\n', '\nKEY RESPONSIBLITIES:', '\n· Construction Phase administration for: SCA Capital Improvement Projects in K-12 NYC Public Schools using CM-13 and GCU web-based software, and for the Port Authority using eBuilder web-based software.', '\n· Manage and lead project team through all technical and production aspects from initial stages of pre-design through to project completion.', '\n· Monitor the technical quality of projects. Enforce the application of the firm’s QA/QC process standards and requirements.', '\n· Contribute innovative ideas in streamlined workflows to minimize waste and improve quality.', '\n· Manage and coordinate workload of team and provide leadership of team activities. Communicate client objectives to team members in a clear and compelling way. Provide constructive feedback and mentoring to team members. Identify and share lessons learned with teams.', '\n· Excellent communication and presentation skills with the ability to interact with clients, contractors, and other design professionals.', '\n· Strong organization skills, ability to handle multiple projects while prioritizing and managing the workflow.', '\n', '\nQUALIFICATIONS:', '\n•\tBachelor of Architecture or related field preferred.', '\n•\t10+ years working in the architecture field.', '\n•\tWorking knowledge of AutoCAD with knowledge of REVIT a plus.', '\n', '\nAPPLICATION REQUIREMENTS:', '\n•\tPlease email a resume and cover letter including salary expectations.', '\n•\tPortfolio and/or relevant work samples that represent the candidate’s design and technical ability, and project relevancy.', '\n•\tUS work authorization required.', '\nWe offer a competitive salary and benefits package based on the candidate’s ability and experience. We have a great company culture and eclectic friendly workspace.', '\nIf you feel this may be the career opportunity for you, please submit your cover letter, resume, and project samples. Due to the large volume of candidates, only qualified applicants will be contacted. No phone calls or agencies please.', '\nNo calls please.', '\nJob Type: Full-time', '\n    ']]",full-time,40.710100,https://newyork.craigslist.org/mnh/egr/d/new-york-architectural-project-manager/7464568896.html,-74.001300,Architectural Project Manager 10 Years +' Experience (Manhattan)
Negotiable,2022-03-29 17:55,"[['\n        ', '\nCompensation: Negotiable', '\n', '\nEmployment type: full-time', '\n', '\nRequirements:', '\n', '\nStrong proficiency in AutoCad with working knowledge of REVIT a plus.', '\nThorough knowledge of building design/construction and drawing standards.', '\nAbility to handle all phases including design, construction documents, and construction administration.', '\nGood organization skills with good oral and written communication skills.', '\nProficiency in Excel and Microsoft Word with Bluebeam a plus.', '\nAccredited Degree in Architecture: B.Arch or M.Arch from an NCARB-accredited school.', '\nResponsibilities:', '\n', '\nDevelop and execute complete set of construction documents.', '\nSurvey new project sites and as-built conditions.', '\nConstruction administration including shop drawing review and logs.', '\nReview redlines and incorporate information into drawings.', '\nCoordination with MEP drawings.', '\nAbout the firm:', '\n', '\nTONAB is modeled on a single principle: that architecture can, and should, have a positive impact on the lives of people. We have created extensive expertise in multiple types of building design and construction including supportive and affordable housing; educational, cultural, and health institutions; and large-scale commercial projects. The firm has designed and completed projects managed by DASNY, NYC School Construction Authority, NYCHA, the Port Authority of NY & NJ, Acacia Network, and Brooklyn Health, as well as work for various airlines and private clients.', '\n', '\nPlease send a cover letter along with a resume and project samples indicating how your qualifications match the requirements of this position.', '\n', '\nNo calls, please.', '\n', '\nCOVID-19 considerations:', '\nOur office complies with all recommended prevention and mitigation for Covid-19', '\n', '\nJob Type: Full-time\n    ']]",full-time,40.707668,https://newyork.craigslist.org/mnh/egr/d/new-york-junior-architect-with-to-years/7464572087.html,-74.005784,Junior Architect with 2 to 4 years’ Experience
salary commensurate with experience,2022-03-30 08:37,"[['\n        ', '\nSBLM New York office seeks to fill various positions ranging from Job Captain to Project Manager. We are looking for individuals who are team players with excellent AutoCAD, Revit and communication skills. Ideal candidates will be a well-organized, detail-oriented individuals who are accustomed to working on and leading a team and production of several projects. ', '\n', '\nResponsibilities include, but not limited to: ', '\nOversee CAD operators as required', '\nCoordinating and developing construction documents', '\nAbility to take on technically challenging issues ', '\nPerform code and zoning analyses', '\nReview and redline drawings', '\nProduce deliverables without requiring constant supervision', '\nCoordinate meetings with consultants and clients', '\nOrganize and lead site visits and surveys', '\nConduct material research and meet with vendor as necessary, to understand', '\nmaterials and products', '\nTake initiative to complete work', '\n', '\nRequirements:', '\nBA Arch or BS Arch degree required', '\n3-5 years professional experience in an Architect’s office ', '\nRetail, Commercial or School Construction Authority (SCA) project experience ', '\nMust be proficient in AutoCAD, Revit and other applicable industry software.', '\nUnderstanding of codes and zoning', '\nCapable of detailing building components and construction processes', '\nBe a team leader', '\n', '\nBENEFITS OF BEING A SBLM EMPLOYEE:', '\n•\tMedical, Dental, & Vision Insurance offered', '\n•\tLife, AD&D, and Long-Term Disability Insurance', '\n•\tFlexible Spending Plan includes Transit, Parking, Dependent/Elder Care, FSA.', '\n•\t401(k) Plan', '\n•\tPaid Time Off', '\n•\tPaid Holidays', '\n•\tProfessional learning and growth opportunities, free ongoing educational learning, rewarding projects.', '\n•\tCollaborative, creative, work environment ', '\n•\tSalary commensurate with level of experience', '\n', '\nJoin our team and ambience!', '\nPlease email your cover letter and resume.', '\nPlease include Job Captain OR Project Manager in the subject.', '\n    ']]",full-time,40.759700,https://newyork.craigslist.org/mnh/egr/d/new-york-architectural-job-captain/7464726984.html,-73.991800,Architectural Job Captain/Project Manager
contract,2022-03-30 10:10,"[['\n        ', ""\nI'm seeking for someone with extensive experience in construction business, especially in sales to partner with. My company is 8 years in business, has all necessary insurances and GC License. Also I have an equipped office in Midtown NYC, where you can do take-offs, estimates\xa0etc. If you think you could develop the business and generate some income for both of us, you're someone I'm seeking for. Let me know if you're tired to be employed and want to\xa0try something new. Thank you!"", '\n    ']]",contract,40.765100,https://newyork.craigslist.org/mnh/egr/d/new-york-construction-business-is/7464760199.html,-73.985800,Construction Business is seeking for a Business Partner
competitive,2022-03-30 14:10,"[['\n        ', '\nIssac and Stern Architects, a well established company in existence since August of 1988 is looking for aggressive, highly skilled architects with good knowledge of AutoCAD. We are looking for dynamic and highly motivated architects to work on our projects from beginning to end and to participate in all phases of preparation of filing and construction drawings. We are looking for candidates that have anywhere\xa0from 2-6 years experience. Enthusiastic\xa0and dynamic architects will be well appreciated and nicely compensated.\xa0 We are looking for a long term relationship and for you as an architect\xa0to grow with our firm.\xa0', '\n', '\nJob Type: Full-time', '\n', '\n', '\nPlease send all resumes to austin@issacstern.com', '\n', '\n', '\n    ']]",full-time,40.754700,https://newyork.craigslist.org/mnh/egr/d/new-york-architect-needed-midtown-nyc/7464884313.html,-73.992500,Architect needed Midtown NYC
